Key	Content	Handle
LLWEAPONEX_ArmCannonRestrictionsDisabled	Enable [Key:ARM_UNIQUE_LLWEAPONEX_ArmCannon_A_DisplayName] Restrictions	h701b61a2g639eg4cf4gb76cg41c26d551d63
LLWEAPONEX_ArmCannonRestrictionsDisabled_Description	The [Key:ARM_UNIQUE_LLWEAPONEX_ArmCannon_A_DisplayName] normally only works with an empty hand or shield. Disabling this allows you to dual-wield it with regular weapons, but this may not be as balanced.	h9fe2b2d8g3794g483cg9b3fgcaa4ac51bd9f
LLWEAPONEX_AutoUnlockRecipesDisabled	Enable Recipe Auto-Unlock	h9620e662g0eb2g4a12ga163gb4d80feefcfc
LLWEAPONEX_AutoUnlockRecipesDisabled_Description	Enable automatically unlocking certain Weapon Expansion recipes when requirements are met, such as shuriken recipes as Throwing Mastery rank 1.	he722bf48g92b6g4a97g8776g281d899f9b1d
LLWEAPONEX_RemoteChargeDetonationCountDisabled	Enable Remote Charge Detonation Limit	h145c7401gf7bbg45cag9233g74278a112220
LLWEAPONEX_RemoteChargeDetonationCountDisabled_Description	Restrict the total number of remote changes that can detonate at once. If disabled, you can blow up everything in an inventory at once (not recommended for balance).	h580f2857g0a22g417cg80begc399154191cc
LLWEAPONEX_DemolitionBackpackAutoRechargeEnabled	Make the [Key:ARM_UNIQUE_LLWEAPONEX_Backpack_Demolition_A_DisplayName] Automatically Recharge	he3183667gd912g4492g833fgadb200ea2dd7
LLWEAPONEX_DemolitionBackpackAutoRechargeEnabled_Description	If enabled, [Key:ARM_UNIQUE_LLWEAPONEX_Backpack_Demolition_A_DisplayName] will automatically recharge over time. If disabled, charges are restored by enemies dying in battle.	h7ec29161g3669g4f4dga980gce7b51e1e7d3
LLWEAPONEX_ThrowObjectLimitDisabled	Enable [Key:Target_LLWEAPONEX_ThrowObject_DisplayName] Limit	h8b499dd6g523fg40e2ga746g4adf2a1f63fb
LLWEAPONEX_ThrowObjectLimitDisabled_Description	Enable the weight limit on [Key:Target_LLWEAPONEX_ThrowObject_DisplayName] (Recommended). If enabled, you can only throw heavy characters if you have 40 Strength or Rank 4 Throwing Mastery.	hfc4163a2g4e16g4de9gb991g4e92e7d6b438
LLWEAPONEX_UniqueAutoLevelingDisabled	Auto-Level Weapon Expansion Uniques	h28e6f038g408eg4421g91a6g4f86c40c4c39
LLWEAPONEX_UniqueAutoLevelingDisabled_Description	If enabled, Weapon Expansion uniques will automatically level up to your level when equipped. If disabled, you will need to use another mod to level them up.	he464eb6bg3fe9g4a19gbc32g09a4cc2f1b7f
LLWEAPONEX_AllowUnarmedShields	Allow Shields When Unarmed	hb66a3335g5aebg430cga687g3e72c206896f
LLWEAPONEX_AllowUnarmedShields_Description	If enabled, characters can still gain unarmed mastery experience and scaling damage when using a shield in the offhand, as long as their primary slot is empty.	hfff96657g68d2g4540ga889g032c15d16b27
LLWEAPONEX_SettingsMenu_Section_General	General	h6145e729g4cb0g4018gafe9gd89175b8943d
LLWEAPONEX_SettingsMenu_Section_Uniques	<font color='#C7A758'>Unique Items</font>	h903efedcge7b3g485ag87bfgc121d0ecad7f
LLWEAPONEX_MoveAllUniquesToVendingMachine	Move All Uniques	h4865a4a5ga3adg4634g950eg806a9ee574ba
LLWEAPONEX_MoveAllUniquesToVendingMachine_Description	All unobtained Weapon Expansion uniques will be moved to the Strange Machine, instead of being in specific places or on specific characters. <font color='#FF0000'>This cannot be undone.</font>	h2591654bg9c7cg4e07g9ba1g5f377f069f0b
